EndDate,EventID,Other,RoadName,StartDate,SvcDept
2017-07-31,RMINRM-201507-0028,"For details, please call 65729647",KOH SEK LIM ROAD (Bus Lane Affected),2015-07-06,LAND TRANSPORT AUTHORITY
2016-05-30,RMINRM-201605-0104,"For details, please call 6396 1337",KPE,2016-05-13,LAND TRANSPORT AUTHORITY
2016-05-30,RMINRM-201605-0066,"For details, please call 6396 1337",KPE,2016-05-13,LAND TRANSPORT AUTHORITY
2016-05-27,RMINRM-201604-0655,"For details, please call 63895063",KPE (TUNNEL),2016-05-26,LAND TRANSPORT AUTHORITY
2016-09-02,RMINRM-201602-0543,"For details, please call 6396 1337",KRANJI CRESCENT,2016-03-03,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201603-0348,"For details, please call 63961384",KRANJI EXPRESSWAY,2016-04-01,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201603-0349,"For details, please call 63961384",KRANJI EXPRESSWAY,2016-04-01,LAND TRANSPORT AUTHORITY
2016-07-25,RMINRM-201601-0498,"For details, please call 6396 1337",KRANJI LOOP,2016-01-26,LAND TRANSPORT AUTHORITY
2017-07-31,RMINRM-201510-0629,"For details, please call 65729647",LAGUNA GOLF GREEN,2015-10-22,LAND TRANSPORT AUTHORITY
2016-06-01,RMINRM-201511-0654,"For details, please call 66378025",LEICESTER ROAD (Bus Lane Affected),2015-11-23,LAND TRANSPORT AUTHORITY
2016-06-07,RMINRM-201603-0144,"For details, please call 63961386",LORONG 33 GEYLANG,2016-03-07,LAND TRANSPORT AUTHORITY
2016-06-07,RMINRM-201603-0145,"For details, please call 63961386",LORONG 34 GEYLANG,2016-03-07,LAND TRANSPORT AUTHORITY
2016-06-07,RMINRM-201603-0146,"For details, please call 63961386",LORONG 35 GEYLANG,2016-03-07,LAND TRANSPORT AUTHORITY
2016-06-07,RMINRM-201603-0147,"For details, please call 63961386",LORONG 41 GEYLANG,2016-03-07,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201603-0878,"For details, please call",LORONG 6 TOA PAYOH,2016-04-01,LAND TRANSPORT AUTHORITY
2016-09-22,RMINRM-201603-0496,"For details, please call",LORONG 8 TOA PAYOH,2016-03-23,LAND TRANSPORT AUTHORITY
2016-06-14,RMINRM-201512-0648,"For details, please call",LORONG 8 TOA PAYOH,2015-12-23,LAND TRANSPORT AUTHORITY
2016-12-31,RMINRM-201604-0799,"For details, please call 67632887",LORONG HALUS,2016-05-03,LAND TRANSPORT AUTHORITY
2016-12-31,RMINRM-201603-0968,"For details, please call 62788245",LOWER DELTA ROAD,2016-04-01,LAND TRANSPORT AUTHORITY
2016-12-31,RMINRM-201603-0966,"For details, please call 62788245",LOWER DELTA ROAD,2016-04-01,LAND TRANSPORT AUTHORITY
2017-02-28,RMINRM-201601-0989,"For details, please call 6295 7346",LOWER SELETAR CLOSE,2016-02-01,LAND TRANSPORT AUTHORITY
2018-12-31,RMINRM-201512-0526,"For details, please call 62616287",LOWLAND ROAD,2015-12-16,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0073,"For details, please call 65551557",LOYANG AVENUE,2016-05-02,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0762,"For details, please call 64406298",LOYANG AVENUE,2016-05-02,LAND TRANSPORT AUTHORITY
2016-11-30,RMINRM-201604-0241,"For details, please call",LOYANG AVENUE,2016-04-22,LAND TRANSPORT AUTHORITY
2017-01-01,RMINRM-201409-0828,"For details, please call",MANDAI AVENUE,2014-10-01,LAND TRANSPORT AUTHORITY
2016-10-04,RMINRM-201603-1078,"For details, please call 6396 1337",MANDAI LINK,2016-04-05,LAND TRANSPORT AUTHORITY
2016-05-27,RMINRM-201604-0382,"For details, please call 6332 6505",MANDAI ROAD,2016-04-21,LAND TRANSPORT AUTHORITY
2016-07-25,RMINRM-201601-0497,"For details, please call 6396 1337",MANDAI ROAD,2016-01-26,LAND TRANSPORT AUTHORITY
2016-05-27,RMINRM-201605-0159,"For details, please call",MANDAI ROAD (Bus Lane Affected),2016-05-09,LAND TRANSPORT AUTHORITY
2016-06-28,RMINRM-201603-0855,"For details, please call 63961385",MARGARET DRIVE,2016-03-28,LAND TRANSPORT AUTHORITY
2016-05-30,RMINRM-201601-0883,"For details, please call",MARGOLIOUTH ROAD,2016-01-28,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0503,"For details, please call 66031034",MARINE CRESCENT,2016-05-01,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0189,"For details, please call 66031034",MARINE CRESCENT,2016-04-11,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0505,"For details, please call 66031034",MARINE PARADE ROAD (Bus Lane Affected),2016-05-01,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0464,"For details, please call",MARINE PARADE ROAD (Bus Lane Affected),2016-04-22,LAND TRANSPORT AUTHORITY
2016-05-30,RMINRM-201604-0504,"For details, please call 66031034",MARINE TERRACE,2016-05-01,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0187,"For details, please call 66031034",MARINE TERRACE,2016-04-11,LAND TRANSPORT AUTHORITY
2016-12-31,RMINRM-201603-0626,"For details, please call",MARINE TERRACE,2016-03-24,LAND TRANSPORT AUTHORITY
2016-09-03,RMINRM-201604-0010,"For details, please call",MARSILING ROAD,2016-04-04,LAND TRANSPORT AUTHORITY
2016-07-30,RMINRM-201603-0415,"For details, please call 63961385",MARYLAND DRIVE,2016-03-23,LAND TRANSPORT AUTHORITY
2017-03-31,RMINRM-201603-0838,"For details, please call",MARYMOUNT ROAD (Bus Lane Affected),2016-03-21,LAND TRANSPORT AUTHORITY
2017-03-31,RMINRM-201603-0841,"For details, please call",MARYMOUNT ROAD (Bus Lane Affected),2016-03-21,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201604-0536,"For details, please call 65919588",MAXWELL ROAD,2016-05-01,LAND TRANSPORT AUTHORITY
2016-09-22,RMINRM-201603-0516,"For details, please call",MAYFLOWER ROAD,2016-03-23,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0717,"For details, please call 66817689",MCCALLUM STREET,2016-05-01,LAND TRANSPORT AUTHORITY
2017-03-20,RMINRM-201603-0436,"For details, please call 62957407",MEDIA CIRCLE,2016-03-21,LAND TRANSPORT AUTHORITY
2017-03-20,RMINRM-201603-0438,"For details, please call 62957407",MEDIA CIRCLE,2016-03-21,LAND TRANSPORT AUTHORITY
2017-03-20,RMINRM-201603-0439,"For details, please call 62957407",MEDIA LINK,2016-03-21,LAND TRANSPORT AUTHORITY
2016-08-26,RMINRM-201603-0545,"For details, please call",MEYAPPA CHETTIAR ROAD,2016-03-17,LAND TRANSPORT AUTHORITY
2016-07-04,RMINRM-201605-0016,"For details, please call 66030318",MEYER ROAD,2016-05-04,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0531,"For details, please call 65576714",MIDDLE ROAD,2016-05-02,LAND TRANSPORT AUTHORITY
2016-09-30,RMINRM-201603-0912,"For details, please call",MIMOSA ROAD,2016-03-31,LAND TRANSPORT AUTHORITY
2016-06-07,RMINRM-201603-0148,"For details, please call 63961386",MOULMEIN ROAD,2016-03-07,LAND TRANSPORT AUTHORITY
2016-06-25,RMINRM-201601-0533,"For details, please call 65946517",MOULMEIN ROAD (Bus Lane Affected),2016-01-25,LAND TRANSPORT AUTHORITY
2016-06-20,RMINRM-201601-0319,"For details, please call 65946504",MOUNT PLEASANT ROAD,2016-01-19,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201603-0332,"For details, please call 64406298",MOUNTBATTEN ROAD,2016-04-01,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201603-0333,"For details, please call 64406298",MOUNTBATTEN ROAD,2016-04-01,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201603-0876,"For details, please call",MOUNTBATTEN ROAD,2016-04-01,LAND TRANSPORT AUTHORITY
